price,latitude,longitude,area_sqft,bedrooms,bathrooms,image
3907000.0,12.954977146741415,77.57279405591429,1056.0,2.0,2.0,real_images/default.jpg
12000000.0,12.90114296586846,77.55206793232267,2600.0,4.0,5.0,real_images/default.jpg
9500000.0,12.991860451416551,77.5839838285135,1521.0,3.0,3.0,real_images/default.jpg
3800000.0,12.983091013762875,77.53353076110993,1170.0,2.0,2.0,real_images/default.jpg
29500000.0,12.94287710762544,77.52263460259503,2785.0,4.0,5.0,real_images/default.jpg
3800000.0,12.955827143289326,77.55203300062291,1000.0,2.0,2.0,real_images/default.jpg
14800000.0,12.955104193029348,77.51230817873743,2250.0,3.0,3.0,real_images/default.jpg
7350000.0,12.990528208513759,77.55546121549284,1175.0,2.0,2.0,real_images/default.jpg
4800000.0,12.98412308625111,77.55601024359979,1180.0,3.0,3.0,real_images/default.jpg
6000000.0,12.96460331806671,77.54985750173212,1540.0,3.0,3.0,real_images/default.jpg
29000000.0,12.988773632858743,77.58628228086113,2770.0,3.0,4.0,real_images/default.jpg
12200000.0,12.944355528786234,77.53228472682328,1755.0,3.0,3.0,real_images/default.jpg
38000000.0,12.951580789595031,77.54079216436526,2800.0,4.0,5.0,real_images/default.jpg
2525000.0,12.997146794913968,77.55560521561533,510.0,1.0,1.0,real_images/default.jpg
2310000.0,12.998420835032409,77.55579071563372,660.0,2.0,1.0,real_images/default.jpg
4877000.0,12.991796674509807,77.58517249583505,1151.0,2.0,2.0,real_images/default.jpg
4700000.0,12.920338794785641,77.59541148178619,1025.0,3.0,2.0,real_images/default.jpg
18600000.0,12.937201834832727,77.51284732484325,2475.0,4.0,4.0,real_images/default.jpg
3500000.0,12.909519205902575,77.53287817535814,1075.0,3.0,2.0,real_images/default.jpg
12300000.0,12.96906182090505,77.53988702526063,1760.0,3.0,2.0,real_images/default.jpg
5739000.0,12.914974206255453,77.574280339906,1693.0,3.0,3.0,real_images/default.jpg
3600000.0,12.975883445250144,77.5255922775999,700.0,2.0,2.0,real_images/default.jpg
12500000.0,12.907457787153227,77.5917750780143,1724.0,3.0,3.0,real_images/default.jpg
3800000.0,12.984569471906633,77.54357136202334,1254.0,3.0,3.0,real_images/default.jpg
3800000.0,12.923982321934517,77.50184391668736,600.0,1.0,1.0,real_images/default.jpg
9179000.0,12.985256615738757,77.59454695793754,1330.74,2.0,2.0,real_images/default.jpg
3300000.0,12.938699954645774,77.59785931710904,970.0,2.0,2.0,real_images/default.jpg
9482000.0,12.947501805143425,77.50670738420342,1459.0,2.0,2.0,real_images/default.jpg
5000000.0,12.986989357464784,77.56501780730818,1270.0,2.0,2.0,real_images/default.jpg
9900000.0,12.927331937060952,77.59738968291049,1670.0,3.0,3.0,real_images/default.jpg
9100000.0,12.943153726199352,77.55815763064932,2010.0,3.0,3.0,real_images/default.jpg
7500000.0,12.99965326888562,77.55972946784358,1185.0,2.0,2.0,real_images/default.jpg
7500000.0,12.928235683125944,77.52622590271238,1600.0,3.0,2.0,real_images/default.jpg
4400000.0,12.968543451597695,77.56858544749208,1200.0,2.0,2.0,real_images/default.jpg
18500000.0,12.987068629149363,77.53798022904627,1500.0,2.0,2.0,real_images/default.jpg
5500000.0,12.991680760737575,77.52691562418181,845.0,2.0,2.0,real_images/default.jpg
65000000.0,12.95366168190099,77.54198334345713,5700.0,4.0,5.0,real_images/default.jpg
4400000.0,12.949066174029413,77.53436687495466,1160.0,2.0,2.0,real_images/default.jpg
4300000.0,12.919930453165847,77.59611959585314,1140.0,2.0,2.0,real_images/default.jpg
8058000.0,12.901748846794723,77.5675751962456,1358.0,2.0,2.0,real_images/default.jpg
10100000.0,12.974174946315639,77.5788061774276,1569.0,3.0,3.0,real_images/default.jpg
7000000.0,12.91344132100171,77.50319129969698,1240.0,2.0,2.0,real_images/default.jpg
14000000.0,12.928741656836719,77.55787817204785,2089.0,3.0,3.0,real_images/default.jpg
20500000.0,12.945348114889777,77.51518829439581,2511.0,3.0,3.0,real_images/default.jpg
10500000.0,12.90076579282716,77.59510853400259,1660.0,3.0,2.0,real_images/default.jpg
7800000.0,12.924252126033522,77.56527654171592,1326.0,2.0,2.0,real_images/default.jpg
10200000.0,12.919505392018916,77.53953751549545,1499.0,3.0,5.0,real_images/default.jpg
3700000.0,12.945603003039752,77.5079670723224,708.0,2.0,2.0,real_images/default.jpg
5806000.0,12.92127912774691,77.53598802709729,1060.0,2.0,2.0,real_images/default.jpg
7000000.0,12.918007083310737,77.58017077888721,1000.0,2.0,2.0,real_images/default.jpg
8000000.0,12.981675170723538,77.5196556964588,1296.0,2.0,2.0,real_images/default.jpg
24500000.0,12.958241173596436,77.53955025562665,2894.0,4.0,4.0,real_images/default.jpg
13800000.0,12.941272628946946,77.56497511550572,2502.0,3.0,3.0,real_images/default.jpg
1700000.0,12.923096162273675,77.50464460893308,650.0,2.0,1.0,real_images/default.jpg
15000000.0,12.909725391349928,77.58545346493557,2400.0,3.0,2.0,real_images/default.jpg
4300000.0,12.987253389810439,77.55772675412993,1007.0,2.0,2.0,real_images/default.jpg
5000000.0,12.958596679257083,77.57267981313466,1200.0,2.0,2.0,real_images/default.jpg
22900000.0,12.949804929634285,77.52648858961064,1640.0,3.0,3.0,real_images/default.jpg
6678000.0,12.942907264852483,77.57887745088156,1260.0,2.0,2.0,real_images/default.jpg
7500000.0,12.90745231017444,77.58822754936315,1413.0,3.0,2.0,real_images/default.jpg
5191000.0,12.957318677963334,77.50499570205844,1116.0,2.0,2.0,real_images/default.jpg
4590000.0,12.922852968392037,77.57236155060913,1530.0,3.0,2.0,real_images/default.jpg
14000000.0,12.917549031964613,77.58666235715408,2497.0,3.0,3.0,real_images/default.jpg
6400000.0,12.918431560191218,77.57537177357248,1540.0,3.0,2.0,real_images/default.jpg
12000000.0,12.932348070692983,77.53572598046264,1427.0,3.0,3.0,real_images/default.jpg
